"gamma","beta","rho","lp"
0.194551205360099,0.23220349546613,0.0048382117492388,-7621.44081782926
0.194956305123555,0.227330300169142,0.00451838685414221,-7622.4328987482
0.190979387192469,0.232020543716685,0.0050791850807016,-7621.73198164942
0.190683430265056,0.227239980881393,0.00497319113812275,-7621.19540215764
0.195741707234508,0.237906237697061,0.00455199842887763,-7621.97160270819
0.181457715704387,0.216866965553689,0.00530155379924896,-7622.34878234233
0.197072473635151,0.237698174692132,0.0044393140866215,-7621.93157328114
0.19349106681128,0.231719291339527,0.00487225022822373,-7621.29783263777
0.184317811605702,0.224216578234937,0.00540814353829254,-7622.031922699
0.189361075737717,0.230061792206199,0.00515749340289372,-7621.66395736952
0.182171494276113,0.218317437784168,0.00535452156107906,-7622.14191949668
0.181308570963405,0.218374968879539,0.00505463512685302,-7622.193820572
0.197440173046869,0.235255636747338,0.00428830664737963,-7622.11094934691
0.196665343319766,0.225948246434942,0.00392677395610055,-7624.92095885755
0.185801765385908,0.226447190901923,0.0047671321529034,-7621.59267469084
0.191228459777155,0.22978558495156,0.00507422408197574,-7621.38430534056
0.184178459438209,0.215221309513494,0.00454594484495614,-7623.70058953782
0.18601964107843,0.225590268947871,0.00502503622459104,-7621.24288239978
0.199737297037854,0.232636424108618,0.00427429618008489,-7623.27502511439
0.194009309030077,0.228825145325517,0.00454797789038656,-7621.63208379433
0.196382388469585,0.233934626495299,0.00490373634700836,-7622.053395319
0.205296346635994,0.242238304601101,0.00417448839760039,-7624.27719515574
0.195381874838495,0.229396202252524,0.00433203209680889,-7622.25538726533
0.185810573829948,0.223202626535934,0.00505324919075617,-7621.24423301299
0.18564963140174,0.226290461321819,0.00463800665362891,-7621.96989045382
0.194429855366945,0.236861057807461,0.00436208655877748,-7622.1761386447
0.183449348693794,0.218029823021878,0.00489570365453485,-7622.1672418835
0.18180040055437,0.221360677685493,0.00514206112438592,-7621.98067716612
0.179249484169307,0.217071277351693,0.00511190807511526,-7622.79077867817
0.192352891812605,0.226158873763653,0.00444625662006448,-7621.96409871375
0.18695232336762,0.223722256143615,0.00498523288627477,-7621.17036956605
0.18981090806681,0.226047573264979,0.00541786985933995,-7622.46207798023
0.195113663161316,0.231547806420654,0.00528477339078714,-7623.32833284183
0.19000937385155,0.230635505224711,0.00506214918416352,-7621.46266177195
0.18688189576488,0.224895186433231,0.00537833935988883,-7621.81585936593
0.182658889140741,0.220225097930092,0.0057937698647211,-7623.30484167564
0.184416779536596,0.222794788165005,0.00485899315062096,-7621.57868431365
0.188849859314929,0.228984911267455,0.0048609714994111,-7621.09421524715
0.185940875592934,0.217079972686358,0.00575963771783354,-7625.36133132887
0.190123185988855,0.234291212266546,0.00443502235407088,-7622.59560035194
0.197685240717412,0.237258206261133,0.00408328451379259,-7623.00647580399
0.192264793092853,0.223642855263062,0.00459592966950482,-7622.55945404656
0.189008640815775,0.223221276562705,0.00500940988267937,-7621.62682184641
0.184558070619947,0.220807859603226,0.00472128420268469,-7621.98189163345
0.192109099980846,0.23207023160415,0.00475577021699629,-7621.13344059579
0.183894795008063,0.228702587603693,0.00429797486598088,-7625.18164931653
0.187619832060728,0.23250468646555,0.00472488488936354,-7622.55025146157
0.192036696534571,0.22975681324826,0.00531516368706413,-7622.41770478737
0.187888015030454,0.226540089680814,0.0047653748425159,-7621.12629201224
0.191306911792126,0.224111768572016,0.00435123534124116,-7622.50307660396
0.186337690004665,0.229093469645623,0.00545423910534135,-7623.18219458571
0.196020115722622,0.236538472521583,0.00434645200099558,-7621.96199067422
0.19839462530929,0.234805285500746,0.00458784956412588,-7622.10395624925
0.191735146174149,0.228656858225697,0.00499630401960659,-7621.31279440443
0.186441135455553,0.223552005128311,0.00543247477052333,-7621.99601445769
0.184008749476839,0.21492412449645,0.0051366880476747,-7623.348354475
0.190819760256281,0.22435020520212,0.00416664354779466,-7623.2104695794
0.196139625077707,0.234754767127067,0.00504495714834651,-7622.50480776759
0.178546535527838,0.21408990360631,0.00547269467353826,-7623.23041105767
0.193374364175961,0.234820926155446,0.00460737328856163,-7621.49649360593
0.191924015578021,0.238172097308253,0.00443790715722086,-7623.34814386379
0.188587315723174,0.230110852381366,0.00468634901795774,-7621.46691559935
0.184465423843128,0.222728697850281,0.00489759005206545,-7621.50744415064
0.185755002197934,0.221149280326805,0.00574540213623633,-7623.51158416392
0.194369775395058,0.231619361582554,0.00464542690945019,-7621.27753385092
0.188858314174023,0.217053608695338,0.00504220270098687,-7624.8638498527
0.185895495155786,0.220818899595221,0.00462119703927606,-7622.10658623616
0.190940928404577,0.225203554799397,0.00499955364326166,-7621.7275002446
0.195277528893341,0.23639947308197,0.00403242397790815,-7623.51906623235
0.185628530268981,0.220285799672267,0.00490455940756977,-7621.69373039259
0.187690938218555,0.217558820616436,0.00537570641346376,-7624.63310389439
0.188932711450949,0.221990329793528,0.00526886159246433,-7622.62204888982
0.195530532290325,0.231745159210448,0.00444462846501807,-7621.67447734845
0.196389990914705,0.232233823190752,0.00478228503641288,-7621.93643768357
0.181766593743651,0.216316213687602,0.00583794249716423,-7623.93981491492
0.188304497882123,0.222854308778119,0.00445824759860735,-7622.19546585896
0.195941770387704,0.237583945717808,0.00462297394300582,-7621.89437477922
0.181160071473817,0.213379725170955,0.00544896095413357,-7623.64263405556
0.196801881605709,0.2269265503351,0.00483977883798679,-7624.49348380253
0.19087123207318,0.223764551708226,0.00537398002432428,-7623.44730300067
0.185225117474132,0.22493679658801,0.00414305106043519,-7625.11529529825
0.194647063051177,0.230514586725873,0.00480212686769018,-7621.58120237946
0.193849240105448,0.236064073697743,0.00497464150766325,-7622.35151814727
0.188784469885719,0.22855804857336,0.00487349304304039,-7621.0557855388
0.192759347076239,0.231962416535494,0.00458490731911238,-7621.19450289741
0.185572194201374,0.226158810562972,0.00453804902877634,-7622.37534351022
0.191630494290296,0.225746712734455,0.00460526853226451,-7621.63244730784
0.206227282985026,0.245565044863449,0.0039477289049955,-7625.14578052068
0.191984875723437,0.230264667119987,0.00487669650834395,-7621.09847897076
0.186714362855694,0.221477713027978,0.00507656617846553,-7621.58554102179
0.18400249908111,0.222412225820135,0.00479712489896198,-7621.81509400817
0.182711097881222,0.22601121582544,0.0048790193241574,-7622.67948468775
0.188344483581332,0.221453911859085,0.00467683370341495,-7621.97175750758
0.187336680827028,0.226967705322243,0.00482686697894333,-7621.16377621769
0.18980244297114,0.229774767804506,0.00491313944409562,-7621.09890067831
0.183508872123484,0.209112665392019,0.00494189450135082,-7626.93156953634
0.190606964906607,0.224009703337955,0.00444012319842145,-7622.15994794361
0.190099263577661,0.22626965654938,0.00452990173951597,-7621.49563805493
0.187910958668473,0.223244140413624,0.00482088167527748,-7621.3358192188
0.182065169347703,0.222214421289827,0.00586726036512338,-7623.98276428153
0.187196515323296,0.219556326082512,0.00478668492252537,-7622.22795889362
0.192534819346307,0.232539452834709,0.00493322613024795,-7621.39677140601
0.190736573144728,0.22334922094322,0.00462606458202221,-7622.04629023424
0.18075547890155,0.225934544748067,0.00475307297794185,-7624.24772577778
0.197030196895135,0.236312044949043,0.00411290429115091,-7622.80950432809
0.189652804177195,0.23013471067743,0.00499990931048871,-7621.27874699564
