"gamma","beta","rho","lp"
0.209257713430892,0.234947195429649,0.00747414416438848,-6859.40366724784
0.225490066540948,0.24719303080746,0.00611286203514211,-6859.49744069806
0.204607519761298,0.227572649043195,0.00730867459025063,-6859.46976203124
0.226554103213492,0.242389765232114,0.00593587331232658,-6861.00446521206
0.211085557571418,0.232086854477494,0.00710320071415876,-6858.73825896087
0.21345638730329,0.230243450435734,0.00618283762403906,-6859.86048273843
0.22419714662872,0.242809713575495,0.00672187794640721,-6860.76224745195
0.214862095757381,0.230880585853517,0.00610220931891698,-6860.01793506951
0.204511655789812,0.219761014568224,0.00680806513837054,-6861.07048953342
0.220941820729889,0.237511512511314,0.00578775156618846,-6860.21001456354
0.200821341569528,0.217280654433938,0.00799467886450522,-6862.41159022601
0.219417580194008,0.238173176825165,0.00671802689553886,-6859.44195387105
0.206390081787291,0.224499223649365,0.00732245693124432,-6859.85203592092
0.21597223093438,0.225871374556547,0.00519613824399437,-6863.73245950915
0.202064631246228,0.221801209394483,0.0074545208842268,-6860.10376767546
0.212642341227758,0.235355383181817,0.00676838852348586,-6858.69583541346
0.217740276413369,0.239105160005975,0.00636774333453826,-6858.8243676593
0.21538807606969,0.234991745024834,0.00640565434346189,-6858.92756766462
0.22415104329393,0.24803204010443,0.00680473655682466,-6859.99693996379
0.206406953164787,0.22864465455169,0.00714375890432916,-6859.18946242948
0.200586682907722,0.220129051537346,0.00800503156514114,-6860.94506054206
0.230162298240354,0.25511724385026,0.00558132866991163,-6861.8975843536
0.219581690338317,0.240371685245034,0.00666999539853441,-6858.88306552661
0.209581839081822,0.229860590415252,0.00700630269175516,-6858.87875471281
0.221977221224016,0.242315346055172,0.00688593493755728,-6859.97112934519
0.229208806923915,0.250716177331892,0.0060122868227854,-6860.16948307075
0.209579556053331,0.227049460807439,0.00542581401965292,-6865.06649140155
0.211935021378794,0.231167977711906,0.00712508408423505,-6859.14428560475
0.204881175505633,0.221865299443799,0.00665228364049672,-6860.66087712291
0.2105439925441,0.236444882967796,0.00765123358518446,-6859.87731567833
0.234248133287893,0.25524169492412,0.00533530657827385,-6862.33525655372
0.233201502546718,0.252297947557171,0.00577868350778721,-6861.42781966008
0.205279423140697,0.222237746173288,0.00725632998524519,-6860.34650544502
0.211010002574294,0.234039259673785,0.00753356724072653,-6859.27379856793
0.189604314725176,0.213780161412643,0.00827176236479448,-6864.34279534845
0.203893928854215,0.226513184288673,0.00656621161293027,-6861.83651895397
0.20217466025614,0.225869608444465,0.00799548585619556,-6860.24018481273
0.216510891237636,0.240223410019639,0.00691446263474677,-6858.72647718193
0.205259994013877,0.228037734070255,0.00917025121124212,-6866.0886427205
0.206608925090495,0.231410001429598,0.00761820744282066,-6859.48123833108
0.211979851128255,0.228128755064717,0.00674603160057418,-6859.91939250606
0.216600883061684,0.242337551919707,0.00739869931671513,-6860.11700244271
0.222015026135415,0.245502065320084,0.00557631994736044,-6862.08357581547
0.215099521755369,0.239376228679,0.00687668364468964,-6858.71786018857
0.206833725276339,0.226469287943481,0.00772099583257409,-6860.06042790519
0.222597219541014,0.249889440668464,0.00663241056647759,-6860.12808669144
0.20048229276333,0.22121635615185,0.00824148719911137,-6861.15394601503
0.219089409882942,0.241554257124894,0.00647132105395283,-6858.74578829637
0.207451667206,0.238305746300559,0.00770353795707686,-6862.2368114401
0.214461071243582,0.233549211847535,0.00666451813806038,-6858.85407646792
0.22031330480946,0.241156666987487,0.006167538296688,-6859.10486609162
0.204847635864047,0.229885614079291,0.00735060030469376,-6859.70145952201
0.209584899642024,0.234249863844924,0.00731055373234037,-6859.02376868943
0.219645638757983,0.24458699508745,0.00650365458392842,-6859.1023899741
0.218420585403264,0.243778583471551,0.00678580213321693,-6859.07367561367
0.208146280801508,0.231505058663003,0.00752418217893046,-6859.14782941856
0.215207887795923,0.236653043383217,0.00740443942465998,-6859.71384070507
0.212310908377951,0.221944667594849,0.00515853006094322,-6864.30242575692
0.199331625933494,0.21801058013226,0.00812806607780212,-6861.65619823786
0.235019111363477,0.252678041005472,0.00511484768598697,-6863.06648516034
